Location,Name,Set code,Collector number,Finish,Scryfall ID,Colors,CMC,Type,Scan Order,Price (USD)
Con_rau,Ultimate Nullification,msc,26,normal,3c27ca1c-8f2d-4ac8-aef1-bb6201763392,W,5.0,Sorcery,1,0.21
Con_rau,The Serpent Society,msh,424,normal,112ac08d-a4b6-4f2b-8afb-41d2ca948d56,"B,G",3.0,Legendary Creature — Human Snake Villain,2,1.68
Con_rau,The Frightful Four,msc,349,normal,94130947-f325-46d1-bf71-7ca8e4a5fa91,B,4.0,Legendary Creature — Villain,3,2.72
Con_rau,Return to the Ranks,mar,48,normal,bbc54478-d2f8-4abf-b664-cf014027c0dc,W,2.0,Sorcery,4,0.65
Con_rau,"Elektra, Daughter of the Hand",msh,326,normal,0d855376-c5ff-4981-9605-6c16f213a857,B,4.0,Legendary Creature — Human Ninja Villain,5,1.91
Con_rau,Agent Phil Coulson,msh,402,normal,258b663e-2fa0-4203-9f5f-f9963940c5b3,W,2.0,Legendary Creature — Human Spy Hero,6,1.19
Con_rau,Fin Fang Foom,msh,129,foil,7777fac1-7bf5-4454-960d-26ec3183e392,R,4.0,Legendary Creature — Alien Dragon Villain,7,0.40
Con_rau,Origin of the Avengers,msh,28,foil,9b0701e8-e365-425a-b897-92f4df9edcb8,W,2.0,Enchantment — Saga,8,0.36
Con_rau,Righteous Fury,mar,49,foil,e6a3a9fd-9653-45dd-b592-a36f85af8fc4,W,6.0,Sorcery,9,2.17
Con_rau,The Ruinous Wrecking Crew,msh,422,foil,52c4f3fa-d6d2-4fe7-9a9c-ec3ab41134e9,"B,R",2.0,Legendary Creature — Human Villain,10,0.37
