Location,Name,Set code,Collector number,Finish,Scryfall ID,Colors,CMC,Type,Scan Order,Price (USD)
Con_ric1,Spectator Seating,cmr,356,normal,2f6f1453-fe93-4a29-965c-5f867a81e8b3,,0.0,Land,1,12.82
Con_ric1,Shadowspear,thb,236,normal,939c6e19-4b27-4023-bb9c-ae440f91e21c,,1.0,Legendary Artifact — Equipment,2,33.33
Con_ric1,"Mikaeus, the Unhallowed",uma,106,normal,8879190f-d8ff-47ce-a5d8-6a481a67236a,B,6.0,Legendary Creature — Zombie Cleric,3,27.38
Con_ric1,Llanowar Elves,2ed,211,normal,fedd1b24-44ee-493a-b4db-3048ff5c760b,G,1.0,Creature — Elf Druid,4,7.69
Con_ric1,Lightning Greaves,plst,CMM-398,normal,ea21033a-9318-4599-a4bc-b7262621d7d8,,2.0,Artifact — Equipment,5,4.32
Con_ric1,Kindred Dominance,c17,18,normal,9794115a-5509-4d9a-b119-d2b61942e87b,B,7.0,Sorcery,6,14.61
Con_ric1,Generous Patron,bbd,70,normal,59ea095b-af0e-4178-b6f4-816abb635fc0,G,3.0,Creature — Elf Advisor,7,7.26
Con_ric1,Generous Patron,bbd,70,normal,59ea095b-af0e-4178-b6f4-816abb635fc0,G,3.0,Creature — Elf Advisor,8,7.26
Con_ric1,Sublime Archangel,uma,38,foil,95e53129-c49b-4bb8-a816-629fc87e58bb,W,4.0,Creature — Angel,9,6.82
Con_ric1,Spelltithe Enforcer,gpt,18,foil,0dd5682a-ca93-4b5f-af21-e1ff4439361b,W,5.0,Creature — Elephant Wizard,10,11.52
Con_ric1,"Kokusho, the Evening Star",ima,95,foil,ab56cedb-1bcd-48a5-8503-a8e324e236ad,B,6.0,Legendary Creature — Dragon Spirit,11,40.71
Con_ric1,Hazoret's Monument,akh,229,foil,7a0a70f2-f2cb-4a08-a1a7-95c8fc3de6e3,,3.0,Legendary Artifact,12,6.09
Con_ric1,Gray Merchant of Asphodel,ths,89,foil,b06078ce-f534-4e16-9a70-d51620a33eb2,B,5.0,Creature — Zombie,13,6.98
Con_ric1,Blasting Station,5dn,107,foil,71e2f832-6601-4232-b250-fd1c88538fbd,,3.0,Artifact,14,65.89
Con_ric1,Akroma's Memorial,fut,159,foil,d2cb3bdf-dff5-4285-ad67-ae7ca84c9fbc,,7.0,Legendary Artifact,15,102.95
